0342,COMBINING GREEK PERISPOMENI,Mn,230,NSM,,,,,N,,,,,
0343,COMBINING GREEK KORONIS,Mn,230,NSM,0313,,,,N,,,,,
0344,COMBINING GREEK DIALYTIKA TONOS,Mn,230,NSM,0308 0301,,,,N,GREEK NON-SPACING DIAERESIS TONOS,,,,
0345,COMBINING GREEK YPOGEGRAMMENI,Mn,240,NSM,,,,,N,GREEK NON-SPACING IOTA BELOW,,0399,,0399
0370,GREEK CAPITAL LETTER HETA,Lu,0,L,,,,,N,,,,0371,
0371,GREEK SMALL LETTER HETA,Ll,0,L,,,,,N,,,0370,,0370
0372,GREEK CAPITAL LETTER ARCHAIC SAMPI,Lu,0,L,,,,,N,,,,0373,
0373,GREEK SMALL LETTER ARCHAIC SAMPI,Ll,0,L,,,,,N,,,0372,,0372
0374,GREEK NUMERAL SIGN,Lm,0,ON,02B9,,,,N,GREEK UPPER NUMERAL SIGN,,,,
0375,GREEK LOWER NUMERAL SIGN,Sk,0,ON,,,,,N,,,,,
0376,GREEK CAPITAL LETTER PAMPHYLIAN DIGAMMA,Lu,0,L,,,,,N,,,,0377,
0377,GREEK SMALL LETTER PAMPHYLIAN DIGAMMA,Ll,0,L,,,,,N,,,0376,,0376
037A,GREEK YPOGEGRAMMENI,Lm,0,L,<compat> 0020 0345,,,,N,GREEK SPACING IOTA BELOW,,,,
037B,GREEK SMALL REVERSED LUNATE SIGMA SYMBOL,Ll,0,L,,,,,N,,,03FD,,03FD
037C,GREEK SMALL DOTTED LUNATE SIGMA SYMBOL,Ll,0,L,,,,,N,,,03FE,,03FE
037D,GREEK SMALL REVERSED DOTTED LUNATE SIGMA SYMBOL,Ll,0,L,,,,,N,,,03FF,,03FF
037E,GREEK QUESTION MARK,Po,0,ON,003B,,,,N,,,,,
037F,GREEK CAPITAL LETTER YOT,Lu,0,L,,,,,N,,,,03F3,
0384,GREEK TONOS,Sk,0,ON,<compat> 0020 0301,,,,N,GREEK SPACING TONOS,,,,
0385,GREEK DIALYTIKA TONOS,Sk,0,ON,00A8 0301,,,,N,GREEK SPACING DIAERESIS TONOS,,,,
0386,GREEK CAPITAL LETTER ALPHA WITH TONOS,Lu,0,L,0391 0301,,,,N,GREEK CAPITAL LETTER ALPHA TONOS,,,03AC,
0387,GREEK ANO TELEIA,Po,0,ON,00B7,,,,N,,,,,
0388,GREEK CAPITAL LETTER EPSILON WITH TONOS,Lu,0,L,0395 0301,,,,N,GREEK CAPITAL LETTER EPSILON TONOS,,,03AD,
0389,GREEK CAPITAL LETTER ETA WITH TONOS,Lu,0,L,0397 0301,,,,N,GREEK CAPITAL LETTER ETA TONOS,,,03AE,
